GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
WrzasqPl CloudFormation Cognito domain data provider,pl.wrzasq.lambda.cform.cognito.domain.data,Handler,0,35,0,0,0,7,0,3,0,3
WrzasqPl CloudFormation Cognito domain data provider,pl.wrzasq.lambda.cform.cognito.domain.data.service,CognitoDomainHandler,0,30,0,0,0,9,0,3,0,3
