GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
WrzasqPl CloudFormation Lambda function macro,pl.wrzasq.lambda.macro.lambda.function.template,ProcessedTemplate,0,224,0,14,0,42,0,15,0,8
WrzasqPl CloudFormation Lambda function macro,pl.wrzasq.lambda.macro.lambda.function.template,LambdaFunctionResource,0,294,0,0,0,48,0,15,0,15
WrzasqPl CloudFormation Lambda function macro,pl.wrzasq.lambda.macro.lambda.function,Handler,0,14,0,0,0,4,0,2,0,2
