GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
WrzasqPl CodePipeline-CodeBuild automation macro,pl.wrzasq.lambda.macro.pipeline.project.template,PipelineProjectResource,4,203,1,1,0,34,2,15,1,15
WrzasqPl CodePipeline-CodeBuild automation macro,pl.wrzasq.lambda.macro.pipeline.project.template,ProcessedTemplate,0,209,0,12,0,40,0,14,0,8
WrzasqPl CodePipeline-CodeBuild automation macro,pl.wrzasq.lambda.macro.pipeline.project,Handler,0,14,0,0,0,4,0,2,0,2
